# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
9213.8000 M305 2000000 2 214.8000 p21 p48 296 N p21->p10->p48
9241.8000 M292 2000000 1 612.8000 p3 p7 289 N p3->p7
9244.0000 M313 2000000 2 8.0000 p0 p46 299 N p0->p27->p46
9308.2000 M310 2000000 1 154.2000 p46 p12 297 N p46->p12
9346.5000 M279 2000000 1 1115.5000 p30 p25 281 N p30->p25
9350.3000 M314 2000000 3 82.3000 p45 p42 298 N p45->p7->p36->p42
9448.7000 M285 2000000 1 1033.7000 p15 p0 282 N p15->p0
9454.0000 M316 2000000 3 128.0000 p16 p3 297 N p16->p45->p49->p3
9454.8000 M299 2000000 2 616.8000 p44 p18 289 N p44->p46->p18
9499.8000 M311 2000000 1 318.8000 p12 p44 294 N p12->p44
9506.6000 M217 2000000 1 3128.6000 p45 p18 247 N p45->p18
9509.0000 M303 2000000 2 562.0000 p16 p35 290 N p16->p28->p35
9523.0000 M304 2000000 1 551.0000 p33 p10 290 N p33->p10
9531.0000 M282 2000000 1 1208.0000 p36 p33 279 N p36->p33
9533.0000 M275 2000000 1 1414.0000 p18 p3 276 N p18->p3
9565.0000 M302 2000000 1 649.0000 p11 p16 289 N p11->p16
9594.2000 M294 2000000 1 904.2000 p3 p30 284 N p3->p30
9597.7000 M268 2000000 1 1676.7000 p5 p19 272 N p5->p19
9620.0000 M325 2000000 2 12.0000 p42 p10 299 N p42->p3->p10
9628.7000 M317 2000000 1 272.7000 p34 p27 295 N p34->p27
9634.7000 M260 2000000 1 1957.7000 p42 p5 267 N p42->p5
9676.2000 M327 2000000 1 7.2000 p41 p18 299 N p41->p18
9684.1000 M319 2000000 1 263.1000 p14 p46 295 N p14->p46
9710.3000 M326 2000000 1 75.3000 p46 p36 298 N p46->p36
9857.0000 M333 2000000 2 12.0000 p40 p3 299 N p40->p20->p3
9868.4000 M323 2000000 1 326.4000 p4 p32 294 N p4->p32
9880.0000 M334 2000000 1 4.0000 p15 p34 299 N p15->p34
9909.9000 M320 2000000 2 456.9000 p48 p44 292 N p48->p29->p44
9949.7000 M255 2000000 1 2424.7000 p5 p33 259 N p5->p33
9964.5000 M312 2000000 1 753.5000 p19 p15 287 N p19->p15
10008.1000 M329 2000000 1 281.1000 p1 p32 295 N p1->p32
10051.8000 M330 2000000 2 298.8000 p42 p20 295 N p42->p19->p20
10111.2000 M321 2000000 1 631.2000 p15 p5 289 N p15->p5
10115.3000 M332 2000000 3 299.3000 p27 p5 295 N p27->p37->p31->p5
10121.0000 M342 2000000 2 12.0000 p19 p32 299 N p19->p10->p32
10153.8000 M336 2000000 2 222.8000 p23 p5 296 N p23->p7->p5
10211.7000 M339 2000000 3 190.7000 p47 p1 296 N p47->p41->p43->p1
10275.7000 M318 2000000 1 887.7000 p32 p33 285 N p32->p33
10347.2000 M315 2000000 1 1052.2000 p26 p46 282 N p26->p46
10363.1000 M269 2000000 1 2415.1000 p21 p47 259 N p21->p47
10371.5000 M340 2000000 1 325.5000 p44 p18 294 N p44->p18
10468.5000 M309 2000000 1 1341.5000 p5 p3 277 N p5->p3
10470.0000 M338 2000000 3 482.0000 p26 p35 291 N p26->p5->p9->p35
10531.0000 M356 2000000 1 4.0000 p32 p47 299 N p32->p47
10560.0000 M348 2000000 4 268.0000 p37 p3 295 N p37->p46->p20->p48->p3
10573.8000 M322 2000000 2 1062.8000 p16 p1 282 N p16->p49->p1
10610.5000 M345 2000000 1 409.5000 p40 p0 293 N p40->p0
10633.2000 M267 2000000 1 2741.2000 p23 p30 254 N p23->p30
10662.1000 M335 2000000 1 761.1000 p18 p28 287 N p18->p28
10724.2000 M306 2000000 1 1692.2000 p41 p13 271 N p41->p13
10748.4000 M352 2000000 2 336.4000 p41 p30 294 N p41->p14->p30
10849.7000 M365 2000000 2 76.7000 p38 p42 298 N p38->p11->p42
10853.7000 M337 2000000 1 892.7000 p27 p42 285 N p27->p42
10900.5000 M355 2000000 1 407.5000 p13 p33 293 N p13->p33
10906.1000 M344 2000000 1 736.1000 p48 p13 287 N p48->p13
10920.3000 M346 2000000 2 688.3000 p27 p48 288 N p27->p29->p48
10928.2000 M369 2000000 1 51.2000 p4 p9 299 N p4->p9
10930.3000 M368 2000000 2 80.3000 p44 p37 298 N p44->p15->p37
10967.0000 M372 2000000 1 4.0000 p38 p20 299 N p38->p20
11050.0000 M375 2000000 1 4.0000 p29 p8 299 N p29->p8
11052.9000 M324 2000000 1 1478.9000 p16 p23 275 N p16->p23
11054.0000 M359 2000000 1 446.0000 p29 p32 292 N p29->p32
11056.1000 M361 2000000 1 393.1000 p6 p43 293 N p6->p43
11071.2000 M247 2000000 1 3787.2000 p7 p37 236 N p7->p37
11075.4000 M366 2000000 1 277.4000 p48 p6 295 N p48->p6
